-36,-37,-37,-37,-37,-36,-36,-37,-35,-36,-36,-37,-36,-36,-36,-36,-36,-36,-36,-36,-36,-37,-37,-36,-36
-71,-72,-70,-72,-71,-71,-72,-72,-73,-72,-71,-71,-71,-72,-71,-74,-72,-72,-72,-71,-72,-72,-70,-73,-72
-74,-76,-75,-75,-74,-75,-74,-76,-75,-76,-79,-78,-76,-76,-78,-75,-75,-77,-77,-75,-77,-77,-78,-79,-78
-75,-74,-79,-78,-79,-73,-79,-80,-76,-77,-78,-77,-77,-78,-75,-72,-75,-78,-79,-71,-77,-78,-82,-80,-78
-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-46,-45,-45,-45,-44,-46,-45,-45,-46,-45,-44,-45,-45,-45,-46
-73,-74,-76,-72,-72,-72,-77,-75,-73,-74,-75,-75,-75,-75,-77,-77,-77,-75,-71,-76,-76,-72,-73,-73,-74
-75,-76,-75,-75,-75,-77,-77,-74,-75,-72,-72,-74,-75,-74,-73,-76,-74,-75,-76,-73,-76,-78,-79,-76,-75
-79,-76,-76,-77,-79,-78,-78,-77,-80,-78,-80,-77,-77,-78,-78,-82,-76,-78,-81,-73,-76,-80,-76,-78,-81
-48,-49,-49,-49,-48,-48,-49,-49,-48,-49,-48,-49,-49,-48,-48,-50,-48,-49,-49,-49,-49,-50,-50,-50,-50
-72,-73,-75,-74,-74,-73,-75,-74,-73,-73,-72,-73,-73,-75,-73,-74,-73,-73,-72,-74,-73,-74,-76,-78,-71
-79,-75,-74,-76,-76,-76,-75,-75,-75,-75,-77,-75,-77,-77,-78,-74,-75,-75,-75,-74,-75,-75,-77,-78,-77
-75,-74,-74,-76,-74,-75,-71,-76,-75,-74,-75,-74,-74,-74,-70,-74,-73,-73,-72,-73,-74,-72,-73,-71,-74
-52,-53,-53,-52,-53,-51,-53,-54,-52,-51,-52,-52,-53,-52,-51,-52,-52,-51,-52,-53,-52,-53,-52,-52,-53
-75,-74,-78,-72,-73,-73,-73,-76,-74,-75,-73,-72,-72,-72,-72,-75,-72,-73,-73,-73,-73,-72,-73,-74,-72
-74,-73,-74,-75,-76,-75,-75,-74,-74,-74,-74,-75,-77,-75,-73,-73,-74,-75,-72,-72,-72,-73,-76,-74,-73
-72,-71,-70,-70,-74,-71,-72,-72,-72,-70,-73,-72,-68,-72,-72,-74,-71,-70,-74,-70,-70,-74,-74,-72,-74
-54,-53,-54,-54,-54,-54,-54,-54,-54,-53,-55,-54,-54,-54,-53,-54,-54,-55,-55,-55,-54,-54,-54,-54,-54
-72,-75,-70,-75,-71,-71,-80,-70,-75,-79,-72,-75,-73,-73,-74,-72,-73,-74,-69,-69,-76,-71,-72,-72,-76
-80,-78,-78,-78,-80,-79,-79,-77,-78,-79,-77,-80,-81,-82,-78,-78,-80,-77,-77,-77,-77,-81,-78,-81,-77
-74,-78,-74,-75,-75,-74,-77,-77,-77,-79,-73,-77,-76,-73,-77,-78,-77,-75,-75,-73,-74,-72,-72,-76,-74
-54,-55,-55,-55,-54,-57,-55,-54,-57,-53,-58,-58,-57,-54,-54,-57,-59,-55,-56,-57,-55,-54,-57,-59,-56
-73,-73,-72,-73,-74,-71,-73,-71,-72,-72,-72,-73,-74,-75,-73,-76,-73,-71,-72,-72,-71,-72,-75,-71,-71
-75,-74,-76,-77,-78,-77,-76,-76,-76,-78,-74,-73,-73,-74,-74,-76,-74,-77,-76,-75,-74,-79,-75,-74,-74
-69,-70,-69,-69,-71,-69,-68,-70,-70,-70,-70,-70,-72,-71,-71,-69,-69,-69,-72,-71,-70,-71,-73,-71,-70
-54,-54,-55,-53,-55,-54,-53,-53,-53,-55,-54,-56,-53,-53,-55,-56,-55,-55,-53,-53,-56,-55,-55,-54,-54
-72,-71,-71,-73,-70,-73,-71,-72,-72,-70,-71,-71,-71,-71,-71,-70,-71,-72,-70,-71,-71,-72,-73,-71,-72
-75,-76,-76,-76,-76,-75,-75,-75,-75,-76,-75,-76,-75,-75,-76,-76,-76,-75,-77,-75,-75,-76,-75,-75,-75
-74,-74,-74,-73,-72,-72,-72,-72,-72,-72,-73,-74,-73,-72,-73,-73,-73,-73,-72,-72,-75,-72,-72,-71,-71
-54,-55,-56,-54,-53,-55,-56,-54,-54,-55,-55,-55,-56,-55,-56,-56,-55,-53,-55,-55,-55,-56,-56,-53,-54
-73,-73,-74,-74,-74,-71,-72,-72,-75,-74,-73,-72,-73,-74,-72,-73,-73,-72,-75,-76,-72,-71,-69,-69,-67
-75,-75,-74,-74,-75,-74,-74,-73,-74,-76,-75,-74,-74,-75,-73,-76,-74,-75,-74,-74,-74,-74,-74,-75,-77
-72,-74,-73,-74,-72,-72,-74,-73,-73,-73,-73,-73,-74,-73,-73,-74,-72,-72,-73,-74,-72,-72,-73,-73,-73
