2,5,10,12,16,17

-69,-69,-68,-70,-69,-68,-67,-68,-69,-68,-68,-68,-69,-69,-69,-69,-69,-69,-67,-66,-70,-68,-68,-66,-70

-74,-78,-76,-76,-78,-76,-77,-78,-78,-77,-77,-76,-76,-77,-76,-77,-77,-78,-76,-75,-77,-77,-77,-74,-76

-76,-76,-75,-77,-77,-76,-76,-76,-78,-77,-75,-76,-75,-75,-76,-77,-76,-75,-75,-75,-75,-77,-76,-76,-76

-77,-74,-75,-75,-72,-72,-73,-73,-74,-72,-77,-73,-75,-75,-74,-75,-73,-76,-76,-79,-76,-75,-78,-75,-73

-72,-73,-72,-72,-71,-72,-72,-72,-72,-71,-72,-73,-72,-72,-73,-72,-73,-72,-72,-73,-72,-72,-72,-72,-72

-73,-72,-72,-72,-73,-73,-73,-72,-73,-72,-72,-72,-72,-72,-73,-72,-72,-72,-72,-72,-72,-71,-71,-72,-72

-71,-70,-71,-69,-69,-70,-69,-69,-70,-69,-70,-69,-69,-70,-70,-68,-70,-70,-70,-70,-70,-70,-70,-71,-71

-68,-66,-69,-68,-68,-68,-67,-68,-66,-67,-68,-69,-68,-69,-66,-68,-67,-66,-68,-69,-69,-68,-68,-67,-67

-70,-72,-70,-71,-72,-71,-71,-71,-71,-71,-71,-72,-72,-72,-71,-72,-72,-71,-71,-71,-70,-71,-71,-72,-73

-61,-62,-60,-60,-61,-60,-61,-60,-61,-60,-60,-60,-62,-61,-63,-62,-60,-60,-61,-62,-61,-61,-62,-61,-61

-60,-59,-59,-61,-60,-59,-59,-60,-60,-59,-59,-60,-60,-60,-60,-60,-60,-59,-60,-60,-61,-61,-60,-60,-61

-64,-63,-64,-63,-63,-63,-62,-62,-64,-64,-63,-63,-64,-63,-63,-63,-65,-66,-65,-65,-65,-64,-64,-65,-64

7,9,14,16,3,6

-68,-67,-70,-67,-70,-69,-68,-68,-69,-67,-69,-69,-71,-70,-71,-70,-68,-68,-69,-67,-69,-68,-68,-70,-69

-75,-75,-75,-76,-75,-76,-75,-75,-74,-76,-75,-75,-75,-75,-76,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75

-71,-71,-69,-71,-71,-71,-70,-70,-71,-72,-70,-69,-70,-70,-70,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69

-71,-72,-71,-73,-71,-75,-70,-69,-70,-72,-70,-71,-74,-76,-70,-69,-69,-68,-68,-71,-69,-70,-69,-69,-70

-75,-74,-73,-72,-76,-74,-75,-74,-75,-76,-76,-76,-75,-75,-74,-77,-74,-75,-78,-75,-75,-75,-73,-78,-77

-73,-73,-73,-73,-73,-72,-71,-73,-73,-72,-73,-73,-74,-73,-75,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73

-67,-67,-66,-67,-66,-66,-66,-67,-66,-67,-67,-67,-66,-66,-66,-65,-66,-67,-67,-66,-67,-65,-67,-67,-66

-71,-77,-76,-73,-77,-73,-75,-72,-74,-70,-77,-72,-72,-73,-72,-74,-75,-74,-72,-72,-71,-71,-72,-75,-73

